001/004_2015-07-29_02-53-20.log:<181>Jul 29 03:40:33 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 0-24-e4-0-33-82, IP: 192.168.1.10]
001/006_2015-07-29_15-36-03.log:<181>Jul 29 18:12:54 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 8c-bf-a6-7e-c3-ed, IP: 192.168.179.32]
001/009_2015-07-29_21-04-44.log:<181>Jul 29 23:17:57 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.31]
001/009_2015-07-29_21-04-44.log:<181>Jul 29 23:18:02 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.31]
001/010_2015-07-30_00-05-32.log:<181>Jul 30 02:55:24 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.31]
001/011_2015-07-30_04-39-06.log:<181>Jul 30 05:46:39 Vigor: [DHCP] Vigor DHCP server has recycled an IP [MAC: 0-f4-b9-47-7d-f0, IP: 192.168.1.12]
001/011_2015-07-30_04-39-06.log:<181>Jul 30 06:03:42 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.31]
001/011_2015-07-30_04-39-06.log:<181>Jul 30 06:32:13 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: f8-a9-63-9a-7b-44, IP: 192.168.179.33]
001/011_2015-07-30_04-39-06.log:<181>Jul 30 06:35:11 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-cc-20-4-ab-44, IP: 192.168.179.48]
001/013_2015-07-30_07-37-54.log:<181>Jul 30 07:41:22 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: c0-9f-42-7a-ed-2b, IP: 192.168.1.45]
001/016_2015-07-30_07-49-17.log:<181>Jul 30 07:50:35 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-10-41-b-22-b5, IP: 192.168.179.30]
001/016_2015-07-30_07-49-17.log:<181>Jul 30 08:00:19 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-2d-27-19-92-ed, IP: 192.168.179.31]
001/017_2015-07-30_08-11-34.log:<181>Jul 30 08:18:41 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/018_2015-07-30_09-01-51.log:<181>Jul 30 09:24:39 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 8c-bf-a6-7e-c3-ed, IP: 192.168.179.33]
001/019_2015-07-30_09-47-07.log:<181>Jul 30 10:25:20 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 0-24-e4-0-33-82, IP: 192.168.1.10]
001/019_2015-07-30_09-47-07.log:<181>Jul 30 10:56:32 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: f8-a9-63-9a-7b-44, IP: 192.168.179.34]
001/020_2015-07-30_11-45-10.log:<181>Jul 30 11:47:14 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/020_2015-07-30_11-45-10.log:<181>Jul 30 11:53:12 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/020_2015-07-30_11-45-10.log:<181>Jul 30 12:28:45 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-2d-27-19-92-ed, IP: 192.168.1.32]
001/021_2015-07-30_14-19-18.log:<181>Jul 30 14:49:35 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/021_2015-07-30_14-19-18.log:<181>Jul 30 15:00:27 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 0-24-e4-0-33-82, IP: 192.168.1.10]
001/021_2015-07-30_14-19-18.log:<181>Jul 30 15:14:38 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: e4-40-e2-d8-b9-fc, IP: 192.168.179.51]
001/021_2015-07-30_14-19-18.log:<181>Jul 30 15:31:18 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 0-4-20-2d-7b-93, IP: 192.168.1.34]
001/021_2015-07-30_14-19-18.log:<181>Jul 30 16:07:17 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: f0-c1-f1-ac-e3-9a, IP: 192.168.1.11]
001/021_2015-07-30_14-19-18.log:<181>Jul 30 16:07:18 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: f0-c1-f1-ac-e3-9a, IP: 192.168.1.11]
001/021_2015-07-30_14-19-18.log:<181>Jul 30 16:34:26 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 9c-ad-97-92-a7-63, IP: 192.168.1.13]
001/021_2015-07-30_14-19-18.log:<181>Jul 30 17:11:02 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 8c-bf-a6-7e-c3-ed, IP: 192.168.179.33]
001/021_2015-07-30_14-19-18.log:<181>Jul 30 17:16:32 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/021_2015-07-30_14-19-18.log:<181>Jul 30 17:25:24 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 18-f6-43-cb-b9-e, IP: 192.168.1.12]
001/022_2015-07-30_19-46-01.log:<181>Jul 30 20:09:35 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/023_2015-07-30_20-35-20.log:<181>Jul 30 20:44:46 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/024_2015-07-30_20-57-20.log:<181>Jul 30 21:12:16 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/024_2015-07-30_20-57-20.log:<181>Jul 30 21:50:09 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/024_2015-07-30_20-57-20.log:<181>Jul 30 21:54:27 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/024_2015-07-30_20-57-20.log:<181>Jul 30 22:51:54 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-cc-20-4-ab-44, IP: 192.168.179.48]
001/025_2015-07-30_22-59-00.log:<181>Jul 31 00:40:25 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: e4-40-e2-d8-b9-fc, IP: 192.168.179.51]
001/026_2015-07-31_03-40-18.log:<181>Jul 31 04:04:55 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 8c-bf-a6-7e-c3-ed, IP: 192.168.179.33]
001/026_2015-07-31_03-40-18.log:<181>Jul 31 04:25:16 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/026_2015-07-31_03-40-18.log:<181>Jul 31 04:36:06 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 8c-bf-a6-7e-c3-ed, IP: 192.168.179.33]
001/026_2015-07-31_03-40-18.log:<181>Jul 31 06:22:54 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/026_2015-07-31_03-40-18.log:<181>Jul 31 06:31:25 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/026_2015-07-31_03-40-18.log:<181>Jul 31 07:49:05 Vigor: [DHCP] Vigor DHCP server has recycled an IP [MAC: c0-9f-42-7a-ed-2b, IP: 192.168.1.45]
001/027_2015-07-31_10-35-31.log:<181>Jul 31 11:40:39 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 0-24-e4-0-33-82, IP: 192.168.1.10]
001/027_2015-07-31_10-35-31.log:<181>Jul 31 12:18:33 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/027_2015-07-31_10-35-31.log:<181>Jul 31 13:33:25 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/028_2015-07-31_13-40-18.log:<181>Jul 31 13:52:54 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/028_2015-07-31_13-40-18.log:<181>Jul 31 13:56:05 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/028_2015-07-31_13-40-18.log:<181>Jul 31 16:05:22 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/028_2015-07-31_13-40-18.log:<181>Jul 31 16:16:23 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 40-e-85-55-7e-be, IP: 192.168.179.35]
001/028_2015-07-31_13-40-18.log:<181>Jul 31 16:20:14 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/029_2015-07-31_16-23-34.log:<181>Jul 31 16:26:27 Vigor: [DHCP] Vigor DHCP server has recycled an IP [MAC: f0-c1-f1-ac-e3-9a, IP: 192.168.1.11]
001/029_2015-07-31_16-23-34.log:<181>Jul 31 16:36:29 Vigor: [DHCP] Vigor DHCP server has recycled an IP [MAC: 9c-ad-97-92-a7-63, IP: 192.168.1.13]
001/029_2015-07-31_16-23-34.log:<181>Jul 31 16:54:55 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: c-54-a5-f5-b8-fd, IP: 192.168.179.41]
001/029_2015-07-31_16-23-34.log:<181>Jul 31 17:43:56 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: c-54-a5-f5-b8-fd, IP: 192.168.179.41]
001/029_2015-07-31_16-23-34.log:<181>Jul 31 17:44:06 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 60-2-b4-66-f3-3b, IP: 192.168.1.35]
001/029_2015-07-31_16-23-34.log:<181>Jul 31 18:22:25 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/030_2015-07-31_18-57-36.log:<181>Jul 31 19:17:29 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: c-54-a5-f5-b8-fd, IP: 192.168.179.41]
001/032_2015-07-31_20-53-11.log:<181>Jul 31 21:14:40 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/032_2015-07-31_20-53-11.log:<181>Jul 31 21:28:20 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/032_2015-07-31_20-53-11.log:<181>Jul 31 21:28:33 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/033_2015-07-31_21-39-58.log:<181>Aug  1 00:18:49 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/034_2015-08-01_00-24-18.log:<181>Aug  1 01:16:00 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 40-e-85-55-7e-be, IP: 192.168.179.35]
001/034_2015-08-01_00-24-18.log:<181>Aug  1 03:21:04 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 40-e-85-55-7e-be, IP: 192.168.179.35]
001/037_2015-08-01_08-35-00.log:<181>Aug  1 08:37:20 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 0-24-e4-0-33-82, IP: 192.168.1.10]
001/037_2015-08-01_08-35-00.log:<181>Aug  1 08:58:44 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/037_2015-08-01_08-35-00.log:<181>Aug  1 09:49:07 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 0-f4-b9-47-7d-f0, IP: 192.168.1.11]
001/037_2015-08-01_08-35-00.log:<181>Aug  1 09:57:34 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 40-e-85-55-7e-be, IP: 192.168.179.35]
001/037_2015-08-01_08-35-00.log:<181>Aug  1 10:26:50 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/039_2015-08-01_12-49-05.log:<181>Aug  1 13:00:42 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-da-e9-49-e3-62, IP: 192.168.1.28]
001/039_2015-08-01_12-49-05.log:<181>Aug  1 13:20:36 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: a0-e4-53-ef-41-d1, IP: 192.168.1.13]
001/040_2015-08-01_14-52-10.log:<181>Aug  1 15:38:11 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/040_2015-08-01_14-52-10.log:<181>Aug  1 16:36:29 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 0-24-e4-0-33-82, IP: 192.168.1.10]
001/041_2015-08-01_16-46-31.log:<181>Aug  1 17:00:39 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 80-ea-96-10-ca-e8, IP: 192.168.179.36]
001/041_2015-08-01_16-46-31.log:<181>Aug  1 17:15:08 Vigor: [DHCP] Vigor DHCP server has recycled an IP [MAC: 18-f6-43-cb-b9-e, IP: 192.168.1.12]
001/042_2015-08-01_18-15-48.log:<181>Aug  1 18:14:04 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 1c-7b-21-4e-c1-ce, IP: 192.168.179.37]
001/042_2015-08-01_18-15-48.log:<181>Aug  1 18:27:46 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: d4-f4-6f-aa-f9-98, IP: 192.168.179.38]
001/042_2015-08-01_18-15-48.log:<181>Aug  1 18:36:46 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 40-e-85-55-7e-be, IP: 192.168.179.35]
001/042_2015-08-01_18-15-48.log:<181>Aug  1 19:15:48 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 0-24-e4-0-33-82, IP: 192.168.1.10]
001/042_2015-08-01_18-15-48.log:<181>Aug  1 19:32:08 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/042_2015-08-01_18-15-48.log:<181>Aug  1 19:40:59 Vigor: [DHCP] Vigor DHCP server has recycled an IP [MAC: 60-2-b4-66-f3-3b, IP: 192.168.1.35]
001/043_2015-08-01_19-46-06.log:<181>Aug  1 20:53:46 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/043_2015-08-01_19-46-06.log:<181>Aug  1 21:49:01 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/044_2015-08-01_22-09-12.log:<181>Aug  1 22:32:27 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-cc-20-4-ab-44, IP: 192.168.179.48]
001/044_2015-08-01_22-09-12.log:<181>Aug  1 23:35:51 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/044_2015-08-01_22-09-12.log:<181>Aug  2 00:31:56 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-da-e9-49-e3-62, IP: 192.168.1.28]
001/044_2015-08-01_22-09-12.log:<181>Aug  2 00:31:58 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-da-e9-49-e3-62, IP: 192.168.1.28]
001/046_2015-08-02_07-46-47.log:<181>Aug  2 08:29:58 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/046_2015-08-02_07-46-47.log:<181>Aug  2 09:55:33 Vigor: [DHCP] Vigor DHCP server has recycled an IP [MAC: 0-f4-b9-47-7d-f0, IP: 192.168.1.11]
001/046_2015-08-02_07-46-47.log:<181>Aug  2 10:08:57 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/046_2015-08-02_07-46-47.log:<181>Aug  2 10:11:26 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/047_2015-08-02_10-19-43.log:<181>Aug  2 11:20:48 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/047_2015-08-02_10-19-43.log:<181>Aug  2 11:31:11 Vigor: [DHCP] Vigor DHCP server has recycled an IP [MAC: f8-a9-63-9a-7b-44, IP: 192.168.179.34]
001/047_2015-08-02_10-19-43.log:<181>Aug  2 11:31:22 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/047_2015-08-02_10-19-43.log:<181>Aug  2 11:51:21 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/047_2015-08-02_10-19-43.log:<181>Aug  2 12:27:03 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/047_2015-08-02_10-19-43.log:<181>Aug  2 12:41:50 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/047_2015-08-02_10-19-43.log:<181>Aug  2 13:26:54 Vigor: [DHCP] Vigor DHCP server has recycled an IP [MAC: a0-e4-53-ef-41-d1, IP: 192.168.1.13]
001/048_2015-08-02_13-39-25.log:<181>Aug  2 14:42:39 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/048_2015-08-02_13-39-25.log:<181>Aug  2 14:50:33 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/048_2015-08-02_13-39-25.log:<181>Aug  2 14:55:14 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/048_2015-08-02_13-39-25.log:<181>Aug  2 15:04:26 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/049_2015-08-02_16-04-36.log:<181>Aug  2 16:43:54 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: f0-c1-f1-ac-e3-9a, IP: 192.168.1.110]
001/049_2015-08-02_16-04-36.log:<181>Aug  2 17:23:09 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/049_2015-08-02_16-04-36.log:<181>Aug  2 18:17:43 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 40-e-85-55-7e-be, IP: 192.168.179.35]
001/049_2015-08-02_16-04-36.log:<181>Aug  2 18:21:06 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/049_2015-08-02_16-04-36.log:<181>Aug  2 18:48:34 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: f0-db-f8-c4-c6-a0, IP: 192.168.1.11]
001/049_2015-08-02_16-04-36.log:<181>Aug  2 18:48:50 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: f0-db-f8-c4-c6-a0, IP: 192.168.1.11]
001/049_2015-08-02_16-04-36.log:<181>Aug  2 19:18:44 Vigor: [DHCP] Vigor DHCP server has recycled an IP [MAC: 0-24-e4-0-33-82, IP: 192.168.1.10]
001/049_2015-08-02_16-04-36.log:<181>Aug  2 19:33:03 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 40-e-85-55-7e-be, IP: 192.168.179.35]
001/049_2015-08-02_16-04-36.log:<181>Aug  2 19:33:31 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 40-e-85-55-7e-be, IP: 192.168.179.35]
001/049_2015-08-02_16-04-36.log:<181>Aug  2 19:59:34 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/050_2015-08-02_20-21-24.log:<181>Aug  2 21:21:45 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/050_2015-08-02_20-21-24.log:<181>Aug  2 21:32:51 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/050_2015-08-02_20-21-24.log:<181>Aug  2 22:26:40 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 8c-bf-a6-7e-c3-ed, IP: 192.168.179.33]
001/050_2015-08-02_20-21-24.log:<181>Aug  2 22:52:13 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/050_2015-08-02_20-21-24.log:<181>Aug  3 00:07:36 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 14-cc-20-4-ab-44, IP: 192.168.179.48]
001/050_2015-08-02_20-21-24.log:<181>Aug  3 00:44:43 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 54-4-a6-db-ba-a0, IP: 192.168.179.34]
001/050_2015-08-02_20-21-24.log:<181>Aug  3 00:45:30 Vigor: [DHCP] Vigor DHCP server has recycled an IP [MAC: e4-40-e2-d8-b9-fc, IP: 192.168.179.51]
001/050_2015-08-02_20-21-24.log:<181>Aug  3 00:59:57 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 54-4-a6-db-ba-a0, IP: 192.168.179.34]
001/050_2015-08-02_20-21-24.log:<181>Aug  3 01:21:58 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 40-f0-2f-87-86-c5, IP: 192.168.179.39]
001/051_2015-08-03_01-41-50.log:<181>Aug  3 02:22:39 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/051_2015-08-03_01-41-50.log:<181>Aug  3 04:44:26 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 1c-7b-21-4e-c1-ce, IP: 192.168.179.37]
001/051_2015-08-03_01-41-50.log:<181>Aug  3 05:36:39 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: e4-40-e2-d8-b9-fc, IP: 192.168.179.51]
001/051_2015-08-03_01-41-50.log:<181>Aug  3 06:41:50 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/052_2015-08-03_08-26-17.log:<181>Aug  3 08:24:30 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 54-4-a6-db-ba-a0, IP: 192.168.179.34]
001/052_2015-08-03_08-26-17.log:<181>Aug  3 08:47:22 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/052_2015-08-03_08-26-17.log:<181>Aug  3 10:22:04 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/052_2015-08-03_08-26-17.log:<181>Aug  3 10:59:44 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 54-4-a6-db-ba-a0, IP: 192.168.179.34]
001/052_2015-08-03_08-26-17.log:<181>Aug  3 11:00:12 Vigor: [DHCP] Vigor DHCP server has recycled an IP [MAC: 54-4-a6-db-ba-a0, IP: 192.168.179.34]
001/052_2015-08-03_08-26-17.log:<181>Aug  3 11:02:27 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 54-4-a6-db-ba-a0, IP: 192.168.179.34]
001/052_2015-08-03_08-26-17.log:<181>Aug  3 11:45:37 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/052_2015-08-03_08-26-17.log:<181>Aug  3 11:52:45 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/052_2015-08-03_08-26-17.log:<181>Aug  3 11:52:49 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/052_2015-08-03_08-26-17.log:<181>Aug  3 12:08:55 Vigor: [DHCP] Vigor DHCP server has recycled an IP [MAC: 14-da-e9-49-e3-62, IP: 192.168.1.28]
001/052_2015-08-03_08-26-17.log:<181>Aug  3 12:18:03 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/053_2015-08-03_12-32-42.log:<181>Aug  3 14:42:20 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.32]
001/053_2015-08-03_12-32-42.log:<181>Aug  3 16:15:08 Vigor: [DHCP] Vigor DHCP server has recycled an IP [MAC: 14-2d-27-19-92-ed, IP: 192.168.1.32]
